Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,season
Colorado Avalanche*,82,56,19,7,119,.726,312,234,0.91,-0.04,.671,46,46-19-17,.665,2022
Minnesota Wild*,82,53,22,7,113,.689,310,253,0.68,-0.02,.640,37,37-22-23,.591,2022
St. Louis Blues*,82,49,22,11,109,.665,311,242,0.79,-0.05,.604,43,43-22-17,.628,2022
Dallas Stars*,82,46,30,6,98,.598,238,246,-0.09,0.01,.543,31,31-30-21,.506,2022
Nashville Predators*,82,45,30,7,97,.591,266,252,0.19,0.02,.537,35,35-30-17,.530,2022
Winnipeg Jets,82,39,32,11,89,.543,252,257,-0.04,0.02,.488,32,32-32-18,.500,2022
Chicago Blackhawks,82,28,42,12,68,.415,219,291,-0.83,0.05,.317,16,16-42-24,.341,2022
Arizona Coyotes,82,25,50,7,57,.348,207,313,-1.23,0.06,.323,18,18-50-14,.305,2022
Calgary Flames*,82,50,21,11,111,.677,293,208,0.99,-0.05,.610,44,44-21-17,.640,2022
Edmonton Oilers*,82,49,27,6,104,.634,290,252,0.46,0.00,.573,38,38-27-17,.567,2022
Los Angeles Kings*,82,44,27,11,99,.604,239,236,0.03,-0.01,.537,35,35-27-20,.549,2022
Vegas Golden Knights,82,43,31,8,94,.573,266,248,0.21,-0.01,.524,34,34-31-17,.518,2022
Vancouver Canucks,82,40,30,12,92,.561,249,236,0.16,0.00,.500,32,32-30-20,.512,2022
San Jose Sharks,82,32,37,13,77,.470,214,264,-0.58,0.03,.390,22,22-37-23,.409,2022
Anaheim Ducks,82,31,37,14,76,.463,232,271,-0.45,0.03,.384,22,22-37-23,.409,2022
Seattle Kraken,82,27,49,6,60,.366,216,285,-0.80,0.04,.317,23,23-49-10,.341,2022
Florida Panthers*,82,58,18,6,122,.744,340,246,1.07,-0.08,.713,42,42-18-22,.646,2022
Toronto Maple Leafs*,82,54,21,7,115,.701,315,253,0.69,-0.06,.646,45,45-21-16,.646,2022
Tampa Bay Lightning*,82,51,23,8,110,.671,287,233,0.64,-0.02,.640,39,39-23-20,.598,2022
Boston Bruins*,82,51,26,5,107,.652,255,220,0.38,-0.05,.622,40,40-26-16,.585,2022
Buffalo Sabres,82,32,39,11,75,.457,232,290,-0.69,0.02,.390,25,25-39-18,.415,2022
Detroit Red Wings,82,32,40,10,74,.451,230,312,-0.95,0.06,.384,21,21-40-21,.384,2022
Ottawa Senators,82,33,42,7,73,.445,227,266,-0.44,0.03,.396,26,26-42-14,.402,2022
Montreal Canadiens,82,22,49,11,55,.335,221,319,-1.15,0.05,.262,16,16-49-17,.299,2022
Carolina Hurricanes*,82,54,20,8,116,.707,278,202,0.88,-0.05,.665,47,47-20-15,.665,2022
New York Rangers*,82,52,24,6,110,.671,254,207,0.54,-0.03,.628,44,44-24-14,.622,2022
Pittsburgh Penguins*,82,46,25,11,103,.628,272,229,0.49,-0.04,.585,37,37-25-20,.573,2022
Washington Capitals*,82,44,26,12,100,.610,275,245,0.35,-0.02,.524,35,35-26-21,.555,2022
New York Islanders,82,37,35,10,84,.512,231,237,-0.09,-0.02,.476,34,34-35-13,.494,2022
Columbus Blue Jackets,82,37,38,7,81,.494,262,300,-0.44,0.02,.445,26,26-38-18,.427,2022
New Jersey Devils,82,27,46,9,63,.384,248,307,-0.68,0.04,.341,19,19-46-17,.335,2022
Philadelphia Flyers,82,25,46,11,61,.372,211,298,-1.00,0.06,.323,20,20-46-16,.341,2022
Colorado Avalanche*,82,51,24,7,109,.665,280,226,0.61,-0.05,.604,36,36-24-22,.573,2023
Dallas Stars*,82,47,21,14,108,.659,285,218,0.75,-0.07,.567,39,39-21-22,.610,2023
Minnesota Wild*,82,46,25,11,103,.628,246,225,0.21,-0.05,.555,34,34-25-23,.555,2023
Winnipeg Jets*,82,46,33,3,95,.579,247,225,0.23,-0.04,.561,36,36-33-13,.518,2023
Nashville Predators,82,42,32,8,92,.561,229,238,-0.12,-0.02,.488,29,29-32-21,.482,2023
St. Louis Blues,82,37,38,7,81,.494,263,301,-0.47,-0.01,.451,27,27-38-17,.433,2023
Arizona Coyotes,82,28,40,14,70,.427,228,299,-0.85,0.01,.348,20,20-40-22,.378,2023
Chicago Blackhawks,82,26,49,7,59,.360,204,301,-1.16,0.02,.317,18,18-49-15,.311,2023
Vegas Golden Knights*,82,51,22,9,111,.677,272,229,0.49,-0.04,.616,38,38-22-22,.598,2023
Edmonton Oilers*,82,50,23,9,109,.665,325,260,0.73,-0.07,.634,45,45-23-14,.634,2023
Los Angeles Kings*,82,47,25,10,104,.634,280,257,0.27,-0.02,.555,37,37-25-20,.573,2023
Seattle Kraken*,82,46,28,8,100,.610,289,256,0.36,-0.04,.585,37,37-28-17,.555,2023
Calgary Flames,82,38,27,17,93,.567,260,252,0.05,-0.05,.482,31,31-27-24,.524,2023
Vancouver Canucks,82,38,37,7,83,.506,276,298,-0.30,-0.04,.439,24,24-37-21,.421,2023
San Jose Sharks,82,22,44,16,60,.366,234,321,-1.05,0.01,.299,16,16-44-22,.329,2023
Anaheim Ducks,82,23,47,12,58,.354,209,338,-1.54,0.03,.280,13,13-47-22,.293,2023
Boston Bruins*,82,65,12,5,135,.823,305,177,1.54,-0.02,.787,54,54-12-16,.756,2023
Toronto Maple Leafs*,82,50,21,11,111,.677,279,222,0.70,0.00,.616,42,42-21-19,.628,2023
Tampa Bay Lightning*,82,46,30,6,98,.598,283,254,0.37,0.02,.555,38,38-30-14,.549,2023
Florida Panthers*,82,42,32,8,92,.561,290,273,0.24,0.04,.506,36,36-32-14,.524,2023
Buffalo Sabres,82,42,33,7,91,.555,296,300,-0.01,0.04,.512,30,30-33-19,.482,2023
Ottawa Senators,82,39,35,8,86,.524,261,271,-0.09,0.04,.470,31,31-35-16,.476,2023
Detroit Red Wings,82,35,37,10,80,.488,240,279,-0.44,0.04,.433,28,28-37-17,.445,2023
Montreal Canadiens,82,31,45,6,68,.415,232,307,-0.85,0.06,.360,21,21-45-16,.354,2023
Carolina Hurricanes*,82,52,21,9,113,.689,266,213,0.66,0.01,.628,39,39-21-22,.610,2023
New Jersey Devils*,82,52,22,8,112,.683,291,226,0.79,0.00,.646,39,39-22-21,.604,2023
New York Rangers*,82,47,22,13,107,.652,277,219,0.70,0.00,.567,37,37-22-23,.591,2023
New York Islanders*,82,42,31,9,93,.567,243,222,0.25,0.00,.537,36,36-31-15,.530,2023
Pittsburgh Penguins,82,40,31,11,91,.555,262,264,0.01,0.04,.488,31,31-31-20,.500,2023
Washington Capitals,82,35,37,10,80,.488,255,265,-0.10,0.02,.439,27,27-37-18,.439,2023
Philadelphia Flyers,82,31,38,13,75,.457,222,277,-0.62,0.05,.372,26,26-38-18,.427,2023
Columbus Blue Jackets,82,25,48,9,59,.360,214,330,-1.34,0.07,.305,15,15-48-19,.299,2023
Dallas Stars*,82,52,21,9,113,.689,298,234,0.74,-0.04,.622,40,40-21-21,.616,2024
Winnipeg Jets*,82,52,24,6,110,.671,259,199,0.69,-0.04,.640,46,46-24-12,.634,2024
Colorado Avalanche*,82,50,25,7,107,.652,304,254,0.57,-0.05,.610,42,42-25-15,.604,2024
Nashville Predators*,82,47,30,5,99,.604,269,248,0.23,-0.02,.555,38,38-30-14,.549,2024
St. Louis Blues,82,43,33,6,92,.561,239,250,-0.14,-0.01,.506,31,31-33-18,.488,2024
Minnesota Wild,82,39,34,9,87,.530,251,263,-0.14,0.01,.476,32,32-33-17,.494,2024
Arizona Coyotes,82,36,41,5,77,.470,256,274,-0.21,0.01,.427,28,28-41-13,.421,2024
Chicago Blackhawks,82,23,53,6,52,.317,179,290,-1.29,0.06,.280,17,17-53-12,.280,2024
Vancouver Canucks*,82,50,23,9,109,.665,279,223,0.64,-0.04,.622,44,44-23-15,.628,2024
Edmonton Oilers*,82,49,27,6,104,.634,294,237,0.65,-0.04,.591,39,39-27-16,.573,2024
Los Angeles Kings*,82,44,27,11,99,.604,256,215,0.45,-0.05,.555,37,37-27-18,.561,2024
Vegas Golden Knights*,82,45,29,8,98,.598,267,245,0.22,-0.05,.537,34,34-29-19,.530,2024
Calgary Flames,82,38,39,5,81,.494,253,271,-0.20,0.02,.488,32,32-39-11,.457,2024
Seattle Kraken,82,34,35,13,81,.494,217,236,-0.26,-0.03,.421,28,28-35-19,.457,2024
Anaheim Ducks,82,27,50,5,59,.360,204,295,-1.09,0.02,.335,21,21-50-11,.323,2024
San Jose Sharks,82,19,54,9,47,.287,181,331,-1.78,0.05,.256,14,14-54-14,.256,2024
Florida Panthers*,82,52,24,6,110,.671,268,200,0.81,-0.02,.628,42,42-24-16,.610,2024
Boston Bruins*,82,47,20,15,109,.665,267,224,0.53,0.01,.567,36,36-20-26,.598,2024
Toronto Maple Leafs*,82,46,26,10,102,.622,303,263,0.50,0.01,.543,33,33-26-23,.543,2024
Tampa Bay Lightning*,82,45,29,8,98,.598,291,268,0.28,0.00,.537,37,37-29-16,.549,2024
Detroit Red Wings,82,41,32,9,91,.555,278,274,0.06,0.02,.488,27,27-32-23,.470,2024
Buffalo Sabres,82,39,37,6,84,.512,246,244,0.03,0.01,.470,33,33-37-12,.476,2024
Ottawa Senators,82,37,41,4,78,.476,255,281,-0.28,0.04,.421,25,25-41-16,.402,2024
Montreal Canadiens,82,30,36,16,76,.463,236,289,-0.59,0.05,.390,20,20-36-26,.402,2024
New York Rangers*,82,55,23,4,114,.695,282,229,0.61,-0.03,.665,43,43-23-16,.622,2024
Carolina Hurricanes*,82,52,23,7,111,.677,279,216,0.73,-0.04,.652,44,44-23-15,.628,2024
New York Islanders*,82,39,27,16,94,.573,246,263,-0.18,0.03,.500,29,29-27-26,.512,2024
Washington Capitals*,82,40,31,11,91,.555,220,257,-0.41,0.04,.494,32,32-31-19,.506,2024
Pittsburgh Penguins,82,38,32,12,88,.537,255,251,0.05,0.00,.470,32,32-32-18,.500,2024
Philadelphia Flyers,82,38,33,11,87,.530,235,261,-0.29,0.03,.457,30,30-33-19,.482,2024
New Jersey Devils,82,38,39,5,81,.494,264,283,-0.22,0.01,.476,33,33-39-10,.463,2024
Columbus Blue Jackets,82,27,43,12,66,.402,237,300,-0.72,0.05,.323,21,21-43-18,.366,2024
Winnipeg Jets*,82,56,22,4,116,.707,277,191,1.02,-0.03,.677,43,43-22-17,.628,2025
Dallas Stars*,82,50,26,6,106,.646,277,224,0.61,-0.04,.610,41,41-26-15,.591,2025
Colorado Avalanche*,82,49,29,4,102,.622,277,234,0.50,-0.03,.591,40,40-29-13,.567,2025
Minnesota Wild*,82,45,30,7,97,.591,228,239,-0.13,0.01,.549,33,33-30-19,.518,2025
St. Louis Blues*,82,44,30,8,96,.585,254,233,0.25,-0.01,.524,32,32-30-20,.512,2025
Utah Hockey Club,82,38,31,13,89,.543,241,251,-0.11,0.01,.482,30,30-31-21,.494,2025
Nashville Predators,82,30,44,8,68,.415,214,274,-0.69,0.04,.354,24,24-44-14,.378,2025
Chicago Blackhawks,82,25,46,11,61,.372,226,296,-0.83,0.03,.317,20,20-46-16,.341,2025
Vegas Golden Knights*,82,50,22,10,110,.671,275,219,0.65,-0.03,.634,46,46-22-14,.646,2025
Los Angeles Kings*,82,48,25,9,105,.640,250,206,0.50,-0.04,.598,43,43-25-14,.610,2025
Edmonton Oilers*,82,48,29,5,101,.616,259,236,0.26,-0.02,.591,36,36-29-17,.543,2025
Calgary Flames,82,41,27,14,96,.585,225,238,-0.17,-0.02,.482,31,31-27-24,.524,2025
Vancouver Canucks,82,38,30,14,90,.549,236,253,-0.22,-0.01,.457,28,28-30-24,.488,2025
Anaheim Ducks,82,35,37,10,80,.488,221,263,-0.49,0.03,.415,24,24-37-21,.421,2025
Seattle Kraken,82,35,41,6,76,.463,247,265,-0.23,-0.01,.433,28,28-41-13,.421,2025
San Jose Sharks,82,20,50,12,52,.317,210,315,-1.24,0.04,.262,14,14-50-18,.280,2025
Toronto Maple Leafs*,82,52,26,4,108,.659,268,231,0.44,-0.01,.640,41,41-26-15,.591,2025
Tampa Bay Lightning*,82,47,27,8,102,.622,294,219,0.89,-0.03,.579,41,41-27-14,.585,2025
Florida Panthers*,82,47,31,4,98,.598,252,223,0.35,-0.01,.537,37,37-31-14,.537,2025
Ottawa Senators*,82,45,30,7,97,.591,243,234,0.11,-0.01,.555,35,35-30-17,.530,2025
Montreal Canadiens*,82,40,31,11,91,.555,245,265,-0.23,0.02,.500,30,30-31-21,.494,2025
Detroit Red Wings,82,39,35,8,86,.524,238,259,-0.23,0.02,.457,30,30-35-17,.470,2025
Buffalo Sabres,82,36,39,7,79,.482,269,289,-0.24,0.01,.427,29,29-39-14,.439,2025
Boston Bruins,82,33,39,10,76,.463,222,272,-0.57,0.04,.409,26,26-39-17,.421,2025
Washington Capitals*,82,51,22,9,111,.677,288,232,0.66,-0.03,.628,43,43-22-17,.628,2025
Carolina Hurricanes*,82,47,30,5,99,.604,266,233,0.40,0.00,.591,42,42-30-10,.573,2025
New Jersey Devils*,82,42,33,7,91,.555,242,222,0.24,-0.01,.512,36,36-33-13,.518,2025
Columbus Blue Jackets,82,40,33,9,89,.543,273,268,0.06,0.00,.457,30,30-33-19,.482,2025
New York Rangers,82,39,36,7,85,.518,256,255,0.01,0.00,.470,35,35-36-11,.494,2025
New York Islanders,82,35,35,12,82,.500,224,260,-0.43,0.01,.433,28,28-35-19,.457,2025
Pittsburgh Penguins,82,34,36,12,80,.488,243,293,-0.59,0.02,.445,24,24-36-22,.427,2025
Philadelphia Flyers,82,33,39,10,76,.463,238,286,-0.56,0.02,.384,21,21-39-22,.390,2025
Colorado Avalanche*,78,52,16,10,114,.731,293,198,1.17,-0.05,.686,46,46-16-16,.692,2026
Dallas Stars*,79,47,20,12,106,.671,267,218,0.58,-0.04,.589,36,36-20-23,.601,2026
Minnesota Wild*,79,45,22,12,102,.646,265,230,0.42,-0.03,.576,30,30-22-27,.551,2026
Utah Mammoth,78,42,30,6,90,.577,258,224,0.40,-0.04,.538,32,32-30-16,.513,2026
Nashville Predators,79,37,32,10,84,.532,239,260,-0.27,-0.01,.449,27,27-32-20,.468,2026
Winnipeg Jets,78,35,31,12,82,.526,224,236,-0.17,-0.01,.462,28,28-31-19,.481,2026
St. Louis Blues,78,33,33,12,78,.500,208,244,-0.48,-0.02,.442,29,29-33-16,.474,2026
Chicago Blackhawks,79,28,37,14,70,.443,204,263,-0.75,0.00,.367,21,21-37-21,.399,2026
Edmonton Oilers,79,40,29,10,90,.570,275,265,0.06,-0.07,.525,31,31-29-19,.513,2026
Vegas Golden Knights,79,36,26,17,89,.563,252,245,0.03,-0.06,.500,28,28-26-25,.513,2026
Anaheim Ducks,79,42,32,5,89,.563,263,277,-0.23,-0.05,.481,25,25-32-22,.456,2026
Los Angeles Kings,78,33,26,19,85,.545,215,237,-0.31,-0.02,.449,20,20-26-32,.462,2026
San Jose Sharks,78,37,34,7,81,.519,237,280,-0.56,-0.01,.468,25,25-34-19,.442,2026
Seattle Kraken,78,33,34,11,77,.494,218,251,-0.46,-0.04,.449,25,25-34-19,.442,2026
Calgary Flames,78,32,37,9,73,.468,203,250,-0.63,-0.03,.404,25,25-37-16,.423,2026
Vancouver Canucks,78,22,48,8,52,.333,203,301,-1.25,0.01,.263,15,15-48-15,.288,2026
Buffalo Sabres,80,49,23,8,106,.663,280,236,0.57,0.02,.581,41,41-23-16,.613,2026
Montreal Canadiens,79,47,22,10,104,.658,275,246,0.40,0.03,.601,33,33-22-24,.570,2026
Tampa Bay Lightning,79,48,25,6,102,.646,282,223,0.76,0.01,.595,39,39-25-15,.589,2026
Boston Bruins,79,43,26,10,96,.608,264,246,0.27,0.04,.538,31,31-26-22,.532,2026
Ottawa Senators,79,42,27,10,94,.595,269,241,0.38,0.02,.519,36,36-27-16,.557,2026
Detroit Red Wings,79,41,29,9,91,.576,234,241,-0.05,0.04,.532,30,30-29-20,.506,2026
Florida Panthers,79,37,38,4,78,.494,234,271,-0.40,0.07,.449,29,29-38-12,.443,2026
Toronto Maple Leafs,79,32,33,14,78,.494,245,284,-0.44,0.05,.424,23,23-33-23,.437,2026
Carolina Hurricanes,79,51,22,6,108,.684,288,235,0.67,0.00,.633,37,37-22-20,.595,2026
Pittsburgh Penguins,79,41,22,16,98,.620,285,252,0.44,0.02,.563,34,34-22-23,.576,2026
Philadelphia Flyers,79,40,27,12,92,.582,236,238,0.01,0.03,.475,25,25-27-27,.487,2026
New York Islanders,79,43,31,5,91,.576,231,232,0.00,0.01,.551,29,29-31-19,.487,2026
Columbus Blue Jackets,79,39,28,12,90,.570,245,246,0.02,0.03,.462,27,27-28-24,.494,2026
Washington Capitals,79,40,30,9,89,.563,252,240,0.16,0.01,.532,34,34-30-15,.525,2026
New Jersey Devils,79,40,36,3,83,.525,221,244,-0.24,0.05,.487,28,28-36-15,.449,2026
New York Rangers,79,33,37,9,75,.475,232,243,-0.10,0.04,.405,24,24-37-18,.418,2026
